Script started on 2026-06-01 21:04:17+08:00 [<not executed on terminal>]
============================================================
训练配置 - 方案A (卷积+池化+分组池化)
============================================================
量子比特数: 8
Ansatz层数: 8
参数数量: 120
训练轮数: 40
批次大小: 50
学习率: 0.001
============================================================

加载并预处理数据...
训练样本数: 1000
预处理后数据维度: 8
标签分布: 0(数字4): 473, 1(数字9): 527
数据范围: [0.4924, 1.4732]

开始训练...
============================================================
训练样本数: 1000
[154秒] 样本 125/1000, 损失: 0.0401
[155秒] 样本 126/1000, 损失: 0.6847
[156秒] 样本 127/1000, 损失: 0.6847
[157秒] 样本 128/1000, 损失: 0.0298
[158秒] 样本 129/1000, 损失: 0.6847
[159秒] 样本 130/1000, 损失: 0.0298
[160秒] 样本 131/1000, 损失: 0.0298
[161秒] 样本 132/1000, 损失: 0.0298
[162秒] 样本 133/1000, 损失: 0.6706
[164秒] 样本 134/1000, 损失: 0.6847
[165秒] 样本 135/1000, 损失: 0.6847
[166秒] 样本 136/1000, 损失: 0.6607
[167秒] 样本 137/1000, 损失: 0.6847
[168秒] 样本 138/1000, 损失: 0.0298
[169秒] 样本 139/1000, 损失: 0.0298
[170秒] 样本 140/1000, 损失: 0.0298
[171秒] 样本 141/1000, 损失: 0.0298
[172秒] 样本 142/1000, 损失: 0.0298
[174秒] 样本 143/1000, 损失: 0.6847
[175秒] 样本 144/1000, 损失: 0.0298
[176秒] 样本 145/1000, 损失: 0.6847
[177秒] 样本 146/1000, 损失: 0.6847
[178秒] 样本 147/1000, 损失: 0.6847
[179秒] 样本 148/1000, 损失: 0.6847
[180秒] 样本 149/1000, 损失: 0.6847
[181秒] 样本 150/1000, 损失: 0.0298
[182秒] 样本 151/1000, 损失: 0.6334
[184秒] 样本 152/1000, 损失: 0.0287
[185秒] 样本 153/1000, 损失: 0.0287
[186秒] 样本 154/1000, 损失: 0.0287
[187秒] 样本 155/1000, 损失: 0.0287
[188秒] 样本 156/1000, 损失: 0.0287
[189秒] 样本 157/1000, 损失: 0.0299
[190秒] 样本 158/1000, 损失: 0.6879
[191秒] 样本 159/1000, 损失: 0.0287
[192秒] 样本 160/1000, 损失: 0.0287
[194秒] 样本 161/1000, 损失: 0.0287
[195秒] 样本 162/1000, 损失: 0.0287
[196秒] 样本 163/1000, 损失: 0.0287
[197秒] 样本 164/1000, 损失: 0.6897
[198秒] 样本 165/1000, 损失: 0.0287
[199秒] 样本 166/1000, 损失: 0.6897
[200秒] 样本 167/1000, 损失: 0.0287
[201秒] 样本 168/1000, 损失: 0.0287
[202秒] 样本 169/1000, 损失: 0.6897
[204秒] 样本 170/1000, 损失: 0.6897
[205秒] 样本 171/1000, 损失: 0.6897
[206秒] 样本 172/1000, 损失: 0.0287
[207秒] 样本 173/1000, 损失: 0.6897
[208秒] 样本 174/1000, 损失: 0.0287
[209秒] 样本 175/1000, 损失: 0.6897
[210秒] 样本 176/1000, 损失: 0.6897
[211秒] 样本 177/1000, 损失: 0.6897
[212秒] 样本 178/1000, 损失: 0.6897
[214秒] 样本 179/1000, 损失: 0.6897
[215秒] 样本 180/1000, 损失: 0.0287
[216秒] 样本 181/1000, 损失: 0.0287
[217秒] 样本 182/1000, 损失: 0.6897
[218秒] 样本 183/1000, 损失: 0.6897
[219秒] 样本 184/1000, 损失: 0.0287
[220秒] 样本 185/1000, 损失: 0.0287
[221秒] 样本 186/1000, 损失: 0.6897
[223秒] 样本 187/1000, 损失: 0.6897
[224秒] 样本 188/1000, 损失: 0.0287
[225秒] 样本 189/1000, 损失: 0.0287
[226秒] 样本 190/1000, 损失: 0.0287
[227秒] 样本 191/1000, 损失: 0.0287
[228秒] 样本 192/1000, 损失: 0.0287
[229秒] 样本 193/1000, 损失: 0.6897
[230秒] 样本 194/1000, 损失: 0.0287
[232秒] 样本 195/1000, 损失: 0.6897
[233秒] 样本 196/1000, 损失: 0.0287
[234秒] 样本 197/1000, 损失: 0.0287
[235秒] 样本 198/1000, 损失: 0.0287
[236秒] 样本 199/1000, 损失: 0.0287
[237秒] 样本 200/1000, 损失: 0.0287
[238秒] 样本 201/1000, 损失: 0.0278
[239秒] 样本 202/1000, 损失: 0.0278
[240秒] 样本 203/1000, 损失: 0.0278
[242秒] 样本 204/1000, 损失: 0.6945
[243秒] 样本 205/1000, 损失: 0.0278
[244秒] 样本 206/1000, 损失: 0.6945
[245秒] 样本 207/1000, 损失: 0.0278
[247秒] 样本 208/1000, 损失: 0.6945
[248秒] 样本 209/1000, 损失: 0.0278
[249秒] 样本 210/1000, 损失: 0.6945
[250秒] 样本 211/1000, 损失: 0.6945
[251秒] 样本 212/1000, 损失: 0.6945
[253秒] 样本 213/1000, 损失: 0.0278
[254秒] 样本 214/1000, 损失: 0.6945
[255秒] 样本 215/1000, 损失: 0.6945
[257秒] 样本 216/1000, 损失: 0.0278
[258秒] 样本 217/1000, 损失: 0.6945
[259秒] 样本 218/1000, 损失: 0.0278
[260秒] 样本 219/1000, 损失: 0.6945
[261秒] 样本 220/1000, 损失: 0.0278
[262秒] 样本 221/1000, 损失: 0.0284
[264秒] 样本 222/1000, 损失: 0.6945
[265秒] 样本 223/1000, 损失: 0.6945
[267秒] 样本 224/1000, 损失: 0.6915
[268秒] 样本 225/1000, 损失: 0.6945
[269秒] 样本 226/1000, 损失: 0.6263
[271秒] 样本 227/1000, 损失: 0.0278
[272秒] 样本 228/1000, 损失: 0.6945
[273秒] 样本 229/1000, 损失: 0.0278
